地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业状态,登记注册类型,企业规模,行业类别代码,行业类别名称,工业总产值当年价格万元,年正常生产时间小时,政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,2,0.0,0.0,1.0,0.0,0,40270.54,,,,3120,炼钢,,,绿水青山总关情,省,湖南省,华菱湘潭钢铁,770052915,湖南省,430304,21,2,0,21.0,2.0,0.0,0.0,47.77,1385.09,2014,0
0,3,0.0,0.0,1.0,0.0,1,42482,,,,4411,火力发电,,,聊城环境,市,聊城市,茌平齐鲁供热,732603456,山东省,371523,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,17,0.0,0.0,9.0,0.0,1,81874.42,,,,4411,火力发电,,,江阴环保,县,江苏省江阴市,江阴热电,142216640,江苏省,320281,12,17,0,1.3333,1.8889,0.0,0.0,15.8,4709.37,2014,0
1,4,0.25,1.0,2.0,0.5,1,60879.1,,,,4419,其他电力生产,,,山东环境,省,山东省,泰安中科环保电力,780766997,山东省,370911,40,15,1,20.0,7.5,0.5,0.0,16.73,5329.27,2014,13668.0
0,2,0.0,0.0,1.0,0.0,1,73002.05,,,,4411,火力发电,,,绍兴-环保,市,浙江省绍兴市,浙江浙能绍兴滨海热电,698257456,浙江省,330000,0,1,0,0.0,1.0,0.0,0.0,59.07,3197.66,2014,0
0,3,0.0,0.0,2.0,0.0,1,73002.05,,,,4411,火力发电,,,杭州环保,市,浙江省杭州市,杭州江东富丽达热电,749454362,浙江省,330000,1,2,0,0.5,1.0,0.0,0.0,59.07,3197.66,2014,0
0,2,0.0,0.0,1.0,0.0,1,73002.05,,,,4411,火力发电,,,浙江环保,省,浙江省,浙江浙能乐清发电,77570367600,浙江省,330382,0,1,0,0.0,1.0,0.0,0.0,59.07,3197.66,2014,0
0,3,0.0,0.0,2.0,0.0,1,126389,,,,4411,火力发电,,,无锡环保,市,无锡市,红豆集团无锡南国企业,740674465,江苏省,320205,2,1,0,1.0,0.5,0.0,0.0,15.8,4709.37,2014,0
0,7,0.0,0.0,4.0,0.0,1,87531,,,,4411,火力发电,,,淄博环保,市,淄博市,淄博金阳热力,77529330400,山东省,370302,13,10,1,3.25,2.5,0.25,0.0,16.73,5329.27,2014,0
1,10,0.1,1.0,5.0,0.2,1,73002.05,,,,4411,火力发电,,,浙江环保,省,浙江省,浙江温州特鲁莱发电,70432083800,浙江省,330382,3,8,0,0.6,1.6,0.0,0.0,59.07,3197.66,2014,5267998.0
