地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
1,2,0.5,1.0,1.0,1.0,1,,,浙江环保,省,浙江省,绍兴市金丰印染,146010092,浙江省,330000,43,9,0,43.0,9.0,0.0,0.0,59.07,3197.66,2014,74607.0
0,1,0.0,0.0,1.0,0.0,1,,,南京环保,市,南京市,吴江污水处理厂,251325475,江苏省,320584,6,0,0,6.0,0.0,0.0,0.0,15.8,4709.37,2014,0
1,3,0.3333,1.0,1.0,1.0,1,,,威海环境,市,山东省威海市,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
0,2,0.0,0.0,2.0,0.0,1,,,江苏环保,省,江苏省,江阴热电,142216640,江苏省,320281,0,1,0,0.0,0.5,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,济南环保,市,济南市,山东金晶科技股份,265127242,山东省,370000,24,4,0,24.0,4.0,0.0,0.0,16.73,5329.27,2014,0
1,3,0.3333,1.0,1.0,1.0,1,,,威海环境,市,山东省威海市,华能临沂发电,168271787,山东省,371311,0,50,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3551539.0
0,3,0.0,0.0,1.0,0.0,1,,,茌平环境,县,山东省聊城市茌平县,茌平齐鲁供热,732603456,山东省,371523,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,江苏镇江发电,608836068,江苏省,321112,10,4,0,10.0,4.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,扬州环保,市,江苏省扬州市,江苏国信扬州发电,682192061,江苏省,321003,1,0,0,1.0,0.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,浙江环保,省,浙江省,恒昌集团浦江印染,147695679,浙江省,330726,3,2,0,3.0,2.0,0.0,0.0,59.07,3197.66,2014,0
